tower,income_adjusted,st_xmin,st_ymin,st_xmax,st_ymax
1549,average,4360129.82359062,-766267.591971372,4361869.79359062,-764527.621971372
1593,average,4361940.88346378,-776814.312326482,4363680.85346378,-775074.342326482
1566,average,4361261.21497599,-772754.677047755,4363001.18497599,-771014.707047755
1583,average,4361862.40610429,-763764.169327707,4363602.37610429,-762024.199327707
1646,poor,4363863.1280968,-765349.454460339,4365603.0980968,-763609.484460339
1796,poor,4367560.35435641,-758866.68338372,4369300.32435641,-757126.71338372
1555,poor,4360887.04421559,-779896.538472236,4362627.01421559,-778156.568472236
1787,poor,4367270.4547809,-759745.41253665,4369010.4247809,-758005.44253665
1770,poor,4367017.57109608,-765088.219973119,4368757.54109608,-763348.249973119
1508,poor,4357310.79548735,-762988.135668806,4359050.76548735,-761248.165668806
1750,poor,4366484.08599301,-758935.632707373,4368224.05599301,-757195.662707373
1494,poor,4356351.59208275,-767297.854727602,4358091.56208275,-765557.884727602
1719,wealthy,4365813.30802131,-756443.235569478,4367553.27802132,-754703.265569478
1653,poor,4364505.69834322,-783173.235176532,4366245.66834322,-781433.265176532
1537,average,4359456.19673844,-747288.280039347,4361196.16673844,-745548.310039347
1884,average,4369639.12291488,-757660.11391641,4371379.09291488,-755920.14391641
1554,average,4360201.50044601,-749963.995713845,4361941.47044601,-748224.025713845
1505,average,4357086.1894102,-764677.749753127,4358826.1594102,-762937.779753127
1521,average,4358486.47422101,-758864.080264104,4360226.44422101,-757124.110264104
1660,average,4364254.69523961,-764297.297472823,4365994.66523961,-762557.327472823
1964,average,4371167.75099044,-766668.501890482,4372907.72099044,-764928.531890483
1734,average,4366052.57048325,-759452.645987175,4367792.54048325,-757712.675987175
2079,average,4375875.20893771,-761342.046889397,4377615.17893771,-759602.076889397
1863,average,4369211.51855468,-763375.758290175,4370951.48855468,-761635.788290175
1611,average,4363087.98085874,-758073.055892184,4364827.95085874,-756333.085892184
1532,average,4359131.55942144,-745522.825250204,4360871.52942144,-743782.855250204
1776,average,4367124.12013286,-768142.332594545,4368864.09013286,-766402.362594545
1930,average,4370609.00831746,-756189.49532099,4372348.97831746,-754449.52532099
1506,average,4357493.65435929,-757976.021013057,4359233.62435929,-756236.051013057
1847,poor,4368820.21671778,-759151.299683035,4370560.18671778,-757411.329683035
1865,poor,4369249.68303697,-771423.316800068,4370989.65303697,-769683.346800069
1793,poor,4367554.07960776,-762781.327536813,4369294.04960776,-761041.357536813
1519,poor,4358407.37871619,-768832.154977477,4360147.34871619,-767092.184977477
1742,poor,4366228.14438442,-763097.905818248,4367968.11438442,-761357.935818248
1749,poor,4366504.82526945,-760118.991195721,4368244.79526945,-758379.021195721
1766,poor,4366818.11792861,-763431.715877313,4368558.08792862,-761691.745877313
1806,poor,4367877.37817575,-768080.839236825,4369617.34817575,-766340.869236825
1790,poor,4367372.83381382,-763639.012563844,4369112.80381383,-761899.042563844
1961,poor,4371263.08933922,-772752.314111617,4373003.05933922,-771012.344111617
1978,wealthy,4371446.40085723,-759539.936243494,4373186.37085723,-757799.966243494
1820,average,4368372.20970536,-762513.356032223,4370112.17970536,-760773.386032223
1533,average,4359134.31700357,-769976.657099583,4360874.28700357,-768236.687099583
1894,average,4369798.21630296,-767345.489227536,4371538.18630296,-765605.519227536
1574,average,4361777.41126291,-770133.040849342,4363517.38126291,-768393.070849342
1560,average,4360767.28219002,-745740.080957223,4362507.25219002,-744000.110957223
1562,average,4360720.06760081,-763498.051021668,4362460.03760081,-761758.081021668
1572,average,4361523.00973002,-759274.205577038,4363262.97973002,-757534.235577038
1563,average,4361144.52369758,-761560.151093161,4362884.49369758,-759820.181093161
1568,average,4361334.07522293,-757626.386878243,4363074.04522293,-755886.416878243
1823,average,4368334.55222256,-757846.559357995,4370074.52222256,-756106.589357995
